,date,Amazon,Mercado Libre,Liverpool,Best Buy,Linio,isPartial,Year,Month
0,2015-12-20,12,25,26,7,5,False,2015,12
1,2015-12-27,11,26,22,6,4,False,2015,12
2,2016-01-03,8,25,16,4,4,False,2016,1
3,2016-01-10,7,24,13,3,3,False,2016,1
4,2016-01-17,6,23,12,3,3,False,2016,1
5,2016-01-24,6,22,11,3,2,False,2016,1
6,2016-01-31,6,21,11,3,3,False,2016,1
7,2016-02-07,6,21,10,3,2,False,2016,2
8,2016-02-14,7,21,10,2,3,False,2016,2
9,2016-02-21,6,21,9,2,2,False,2016,2
10,2016-02-28,6,20,10,2,2,False,2016,2
11,2016-03-06,7,20,11,3,2,False,2016,3
12,2016-03-13,6,21,11,3,2,False,2016,3
13,2016-03-20,7,22,12,3,2,False,2016,3
14,2016-03-27,7,24,11,2,3,False,2016,3
15,2016-04-03,7,21,12,2,2,False,2016,4
16,2016-04-10,7,20,13,2,3,False,2016,4
17,2016-04-17,6,21,14,2,2,False,2016,4
18,2016-04-24,8,20,20,2,2,False,2016,4
19,2016-05-01,7,21,14,3,2,False,2016,5
20,2016-05-08,7,19,12,3,2,False,2016,5
21,2016-05-15,7,22,13,2,2,False,2016,5
22,2016-05-22,7,21,11,2,3,False,2016,5
23,2016-05-29,10,21,18,4,4,False,2016,5
24,2016-06-05,7,21,18,3,2,False,2016,6
25,2016-06-12,8,22,14,3,3,False,2016,6
26,2016-06-19,8,21,13,2,2,False,2016,6
27,2016-06-26,8,22,14,3,3,False,2016,6
28,2016-07-03,9,22,14,3,3,False,2016,7
29,2016-07-10,9,22,14,3,3,False,2016,7
30,2016-07-17,8,22,13,3,3,False,2016,7
31,2016-07-24,9,23,14,3,3,False,2016,7
32,2016-07-31,9,24,14,3,3,False,2016,7
33,2016-08-07,8,23,12,3,2,False,2016,8
34,2016-08-14,8,28,13,3,3,False,2016,8
35,2016-08-21,8,28,13,3,2,False,2016,8
36,2016-08-28,8,29,12,3,2,False,2016,8
37,2016-09-04,8,25,13,3,2,False,2016,9
38,2016-09-11,8,27,13,3,2,False,2016,9
39,2016-09-18,7,30,12,3,2,False,2016,9
40,2016-09-25,8,31,16,2,2,False,2016,9
41,2016-10-02,7,31,15,3,2,False,2016,10
42,2016-10-09,7,33,21,3,2,False,2016,10
43,2016-10-16,8,32,16,3,2,False,2016,10
44,2016-10-23,8,34,13,3,2,False,2016,10
45,2016-10-30,9,35,13,3,3,False,2016,10
46,2016-11-06,8,33,15,4,3,False,2016,11
47,2016-11-13,13,38,35,9,5,False,2016,11
48,2016-11-20,19,38,26,7,4,False,2016,11
49,2016-11-27,13,36,24,4,3,False,2016,11
50,2016-12-04,11,36,27,4,4,False,2016,12
51,2016-12-11,13,39,25,5,4,False,2016,12
52,2016-12-18,14,39,28,6,4,False,2016,12
53,2016-12-25,12,39,23,5,3,False,2016,12
54,2017-01-01,12,37,22,4,3,False,2017,1
55,2017-01-08,11,35,17,3,3,False,2017,1
56,2017-01-15,10,33,17,3,3,False,2017,1
57,2017-01-22,9,33,14,3,2,False,2017,1
58,2017-01-29,9,31,15,3,2,False,2017,1
59,2017-02-05,9,32,14,3,2,False,2017,2
60,2017-02-12,9,30,14,2,2,False,2017,2
61,2017-02-19,10,29,12,2,2,False,2017,2
62,2017-02-26,10,28,13,3,2,False,2017,2
63,2017-03-05,11,30,13,3,2,False,2017,3
64,2017-03-12,10,30,14,3,3,False,2017,3
65,2017-03-19,10,30,14,3,2,False,2017,3
66,2017-03-26,10,30,15,3,2,False,2017,3
67,2017-04-02,10,30,13,3,2,False,2017,4
68,2017-04-09,12,33,15,3,2,False,2017,4
69,2017-04-16,13,33,15,3,2,False,2017,4
70,2017-04-23,11,31,19,3,2,False,2017,4
71,2017-04-30,12,32,26,3,2,False,2017,4
72,2017-05-07,11,35,18,3,2,False,2017,5
73,2017-05-14,11,40,15,3,2,False,2017,5
74,2017-05-21,13,40,15,3,2,False,2017,5
75,2017-05-28,23,45,27,5,5,False,2017,5
76,2017-06-04,13,43,23,3,3,False,2017,6
77,2017-06-11,12,44,20,3,3,False,2017,6
78,2017-06-18,12,40,17,3,2,False,2017,6
79,2017-06-25,12,43,17,3,2,False,2017,6
80,2017-07-02,15,44,18,3,3,False,2017,7
81,2017-07-09,20,45,21,3,3,False,2017,7
82,2017-07-16,13,42,19,4,2,False,2017,7
83,2017-07-23,15,44,21,4,2,False,2017,7
84,2017-07-30,15,46,19,3,2,False,2017,7
85,2017-08-06,14,47,19,4,2,False,2017,8
86,2017-08-13,14,45,19,3,2,False,2017,8
87,2017-08-20,13,42,18,3,2,False,2017,8
88,2017-08-27,14,40,17,3,2,False,2017,8
89,2017-09-03,13,40,17,3,2,False,2017,9
90,2017-09-10,13,38,17,3,2,False,2017,9
91,2017-09-17,12,35,16,2,2,False,2017,9
92,2017-09-24,13,41,22,3,2,False,2017,9
93,2017-10-01,13,41,21,3,2,False,2017,10
94,2017-10-08,13,40,28,3,2,False,2017,10
95,2017-10-15,13,41,21,3,2,False,2017,10
96,2017-10-22,14,41,18,3,2,False,2017,10
97,2017-10-29,14,41,19,4,2,False,2017,10
98,2017-11-05,15,44,19,4,2,False,2017,11
99,2017-11-12,22,50,43,8,3,False,2017,11
100,2017-11-19,32,50,35,9,4,False,2017,11
101,2017-11-26,23,47,28,4,2,False,2017,11
102,2017-12-03,19,48,30,4,3,False,2017,12
103,2017-12-10,21,51,43,5,2,False,2017,12
104,2017-12-17,24,58,38,7,3,False,2017,12
105,2017-12-24,21,52,31,6,3,False,2017,12
106,2017-12-31,20,52,30,5,2,False,2017,12
107,2018-01-07,18,48,22,4,2,False,2018,1
108,2018-01-14,16,47,21,3,2,False,2018,1
109,2018-01-21,16,48,20,4,2,False,2018,1
110,2018-01-28,15,47,18,4,2,False,2018,1
111,2018-02-04,16,45,17,3,1,False,2018,2
112,2018-02-11,16,44,18,3,1,False,2018,2
113,2018-02-18,14,44,16,3,1,False,2018,2
114,2018-02-25,15,41,17,3,1,False,2018,2
115,2018-03-04,15,42,17,3,1,False,2018,3
116,2018-03-11,16,41,17,3,1,False,2018,3
117,2018-03-18,15,40,18,3,2,False,2018,3
118,2018-03-25,18,43,21,3,1,False,2018,3
119,2018-04-01,16,44,21,3,2,False,2018,4
120,2018-04-08,15,40,20,3,1,False,2018,4
121,2018-04-15,16,42,18,3,1,False,2018,4
122,2018-04-22,15,41,31,3,1,False,2018,4
123,2018-04-29,17,41,40,3,2,False,2018,4
124,2018-05-06,16,41,25,4,2,False,2018,5
125,2018-05-13,16,41,20,3,1,False,2018,5
126,2018-05-20,16,40,36,3,1,False,2018,5
127,2018-05-27,25,45,38,6,3,False,2018,5
128,2018-06-03,17,44,28,3,1,False,2018,6
129,2018-06-10,15,40,22,3,1,False,2018,6
130,2018-06-17,15,38,19,3,1,False,2018,6
131,2018-06-24,15,39,19,3,1,False,2018,6
132,2018-07-01,15,39,19,3,1,False,2018,7
133,2018-07-08,21,46,22,3,1,False,2018,7
134,2018-07-15,30,46,23,3,1,False,2018,7
135,2018-07-22,19,48,21,4,2,False,2018,7
136,2018-07-29,20,47,23,3,2,False,2018,7
137,2018-08-05,19,46,20,3,1,False,2018,8
138,2018-08-12,19,44,21,4,1,False,2018,8
139,2018-08-19,18,41,18,3,1,False,2018,8
140,2018-08-26,19,40,18,3,1,False,2018,8
141,2018-09-02,18,42,17,3,1,False,2018,9
142,2018-09-09,18,40,18,3,1,False,2018,9
143,2018-09-16,18,39,19,3,1,False,2018,9
144,2018-09-23,18,38,19,3,1,False,2018,9
145,2018-09-30,19,39,23,3,1,False,2018,9
146,2018-10-07,18,40,26,3,1,False,2018,10
147,2018-10-14,18,39,20,3,1,False,2018,10
148,2018-10-21,18,38,19,3,1,False,2018,10
149,2018-10-28,18,38,18,3,1,False,2018,10
150,2018-11-04,20,42,21,3,1,False,2018,11
151,2018-11-11,30,47,48,10,2,False,2018,11
152,2018-11-18,39,48,39,9,2,False,2018,11
153,2018-11-25,29,46,34,5,1,False,2018,11
154,2018-12-02,25,46,39,4,1,False,2018,12
155,2018-12-09,28,52,37,5,1,False,2018,12
156,2018-12-16,34,57,38,7,1,False,2018,12
157,2018-12-23,32,53,38,7,1,False,2018,12
158,2018-12-30,30,51,36,6,1,False,2018,12
159,2019-01-06,25,46,23,4,1,False,2019,1
160,2019-01-13,23,46,21,4,1,False,2019,1
161,2019-01-20,23,43,19,3,1,False,2019,1
162,2019-01-27,22,43,19,3,1,False,2019,1
163,2019-02-03,22,42,19,4,1,False,2019,2
164,2019-02-10,20,41,19,3,1,False,2019,2
165,2019-02-17,21,41,18,3,1,False,2019,2
166,2019-02-24,20,39,18,3,1,False,2019,2
167,2019-03-03,21,42,17,3,1,False,2019,3
168,2019-03-10,20,38,21,3,1,False,2019,3
169,2019-03-17,21,42,19,3,1,False,2019,3
170,2019-03-24,21,41,19,3,1,False,2019,3
171,2019-03-31,22,42,19,3,1,False,2019,3
172,2019-04-07,22,43,22,3,1,False,2019,4
173,2019-04-14,24,45,28,3,1,False,2019,4
174,2019-04-21,24,46,22,3,1,False,2019,4
175,2019-04-28,23,46,46,4,1,False,2019,4
176,2019-05-05,22,46,51,3,1,False,2019,5
177,2019-05-12,24,46,22,3,1,False,2019,5
178,2019-05-19,25,46,21,3,1,False,2019,5
179,2019-05-26,37,54,55,7,2,False,2019,5
180,2019-06-02,26,49,31,4,1,False,2019,6
181,2019-06-09,25,48,28,3,1,False,2019,6
182,2019-06-16,25,46,23,4,1,False,2019,6
183,2019-06-23,26,48,23,3,1,False,2019,6
184,2019-06-30,27,50,23,3,1,False,2019,6
185,2019-07-07,30,52,24,4,1,False,2019,7
186,2019-07-14,46,56,27,4,1,False,2019,7
187,2019-07-21,29,52,25,4,1,False,2019,7
188,2019-07-28,28,50,26,3,1,False,2019,7
189,2019-08-04,27,50,27,4,1,False,2019,8
190,2019-08-11,30,51,28,4,1,False,2019,8
191,2019-08-18,29,49,22,3,1,False,2019,8
192,2019-08-25,26,48,21,3,1,False,2019,8
193,2019-09-01,25,45,19,3,1,False,2019,9
194,2019-09-08,24,43,20,3,1,False,2019,9
195,2019-09-15,25,47,23,4,1,False,2019,9
196,2019-09-22,26,46,22,3,1,False,2019,9
197,2019-09-29,24,44,30,4,1,False,2019,9
198,2019-10-06,24,45,25,3,1,False,2019,10
199,2019-10-13,27,46,22,4,1,False,2019,10
200,2019-10-20,28,46,22,3,1,False,2019,10
201,2019-10-27,26,45,24,3,1,False,2019,10
202,2019-11-03,29,49,25,4,1,False,2019,11
203,2019-11-10,44,57,60,12,2,False,2019,11
204,2019-11-17,45,60,46,9,1,False,2019,11
205,2019-11-24,52,56,33,8,1,False,2019,11
206,2019-12-01,43,58,45,6,1,False,2019,12
207,2019-12-08,40,63,43,5,1,False,2019,12
208,2019-12-15,45,65,100,6,1,False,2019,12
209,2019-12-22,41,57,47,6,1,False,2019,12
210,2019-12-29,40,58,44,5,1,False,2019,12
211,2020-01-05,35,56,30,5,1,False,2020,1
212,2020-01-12,33,51,24,4,1,False,2020,1
213,2020-01-19,30,51,28,3,1,False,2020,1
214,2020-01-26,29,48,23,3,1,False,2020,1
215,2020-02-02,28,49,22,3,1,False,2020,2
216,2020-02-09,28,45,20,3,1,False,2020,2
217,2020-02-16,27,45,23,3,1,False,2020,2
218,2020-02-23,28,45,22,3,1,False,2020,2
219,2020-03-01,27,45,22,2,1,False,2020,3
220,2020-03-08,26,45,27,3,1,False,2020,3
221,2020-03-15,30,45,18,3,1,False,2020,3
222,2020-03-22,32,40,17,3,0,False,2020,3
223,2020-03-29,35,44,24,3,1,False,2020,3
224,2020-04-05,41,49,26,3,1,False,2020,4
225,2020-04-12,46,59,29,3,1,False,2020,4
226,2020-04-19,37,50,24,3,1,False,2020,4
227,2020-04-26,44,55,43,5,1,False,2020,4
228,2020-05-03,46,58,50,5,1,False,2020,5
229,2020-05-10,45,60,26,5,1,False,2020,5
230,2020-05-17,52,65,35,8,1,False,2020,5
231,2020-05-24,50,67,35,7,2,False,2020,5
232,2020-05-31,42,63,30,5,1,False,2020,5
233,2020-06-07,44,62,42,4,1,False,2020,6
234,2020-06-14,44,63,38,4,1,False,2020,6
235,2020-06-21,43,61,32,5,1,False,2020,6
236,2020-06-28,43,64,29,4,1,False,2020,6
237,2020-07-05,45,67,31,4,1,False,2020,7
238,2020-07-12,46,66,31,4,1,False,2020,7
239,2020-07-19,45,66,31,4,1,False,2020,7
240,2020-07-26,45,65,30,5,1,False,2020,7
241,2020-08-02,43,63,30,5,1,False,2020,8
242,2020-08-09,42,63,30,5,1,False,2020,8
243,2020-08-16,41,59,30,6,1,False,2020,8
244,2020-08-23,35,53,25,5,1,False,2020,8
245,2020-08-30,34,51,24,4,1,False,2020,8
246,2020-09-06,33,48,22,4,1,False,2020,9
247,2020-09-13,33,49,24,4,1,False,2020,9
248,2020-09-20,31,46,23,4,1,False,2020,9
249,2020-09-27,31,46,31,3,1,False,2020,9
250,2020-10-04,31,46,32,3,1,False,2020,10
251,2020-10-11,44,50,22,3,1,False,2020,10
252,2020-10-18,32,45,24,3,0,False,2020,10
253,2020-10-25,31,46,21,3,1,False,2020,10
254,2020-11-01,32,49,26,4,1,False,2020,11
255,2020-11-08,49,62,61,9,1,False,2020,11
256,2020-11-15,46,60,45,8,1,False,2020,11
257,2020-11-22,45,55,31,20,1,False,2020,11
258,2020-11-29,40,57,30,38,1,False,2020,11
259,2020-12-06,42,58,41,10,1,False,2020,12
260,2020-12-13,48,67,47,7,1,True,2020,12
